Metric,Value,Classifier
accuracy,0.7832512315270936,gaussian
accuracy,0.8916256157635468,decisionTree
accuracy,0.7783251231527094,logisticRegression
accuracy,0.8817733990147784,KNN
accuracy,0.8916256157635468,svc
precision,0.7669970682674856,gaussian
precision,0.8916940973442844,decisionTree
precision,0.7573729985313244,logisticRegression
precision,0.8860355536517455,KNN
precision,0.8915652635342721,svc
f1_score,0.7651670466200095,gaussian
f1_score,0.8915652635342721,decisionTree
f1_score,0.7615451806857044,logisticRegression
f1_score,0.8810018738090446,KNN
f1_score,0.8915718686437455,svc
recall,0.7832512315270936,gaussian
recall,0.8916256157635468,decisionTree
recall,0.7783251231527094,logisticRegression
recall,0.8817733990147784,KNN
recall,0.8916256157635468,svc
