Metric,Value,Classifier
accuracy,0.6375711574952562,gaussian
accuracy,0.937381404174573,decisionTree
accuracy,0.7381404174573055,logisticRegression
accuracy,0.9070208728652751,KNN
accuracy,0.9392789373814042,svc
precision,0.664618834204017,gaussian
precision,0.9369929489181021,decisionTree
precision,0.749752811008772,logisticRegression
precision,0.9084764906938103,KNN
precision,0.9390025629019936,svc
f1_score,0.5765665889114979,gaussian
f1_score,0.9369654099052737,decisionTree
f1_score,0.7379020620157521,logisticRegression
f1_score,0.9060449732139624,KNN
f1_score,0.9388474266041476,svc
recall,0.6375711574952562,gaussian
recall,0.937381404174573,decisionTree
recall,0.7381404174573055,logisticRegression
recall,0.9070208728652751,KNN
recall,0.9392789373814042,svc
